name,address,accessible,wards_precincts
Calvary Lutheran Church,"6149 S Kenneth Av, Chicago, IL",False,"ward 13 precinct 14, ward 13 precinct 23"
Noble Square Cooperative,"1165 N Milwaukee Av, Chicago, IL",True,ward 27 precinct 13
Five Holy Martyrs,"4327 S Richmond St, Chicago, IL",False,ward 15 precinct 11
Senn Metro Academy,"5900 N Glenwood Av, Chicago, IL",True,"ward 48 precinct 1, ward 48 precinct 42"
Darwin School,"3116 W Belden Av, Chicago, IL",True,ward 32 precinct 20
Iglesia Cristiana De La Familia,"3053 N Linder Av, Chicago, IL",False,ward 31 precinct 31
Maple Park Missionary Bapt Church,"11759 S Ashland Av, Chicago, IL",True,ward 34 precinct 7
Newberry School,"700 W Willow St, Chicago, IL",True,"ward 43 precinct 5, ward 43 precinct 23"
Draper &amp; Kramer,"1360 N Lake Shore Dr, Chicago, IL",True,ward 43 precinct 28
Long Life Apartments,"344 W 28 Pl, Chicago, IL",True,ward 11 precinct 14
Avondale Park,"3516 W School St, Chicago, IL",True,ward 35 precinct 24
North &amp; Talman Elderly Apartments,"1600 N Talman Av, Chicago, IL",True,"ward 1 precinct 27, ward 1 precinct 31"
Mt Hermon Church,"7848 S Normal Av, Chicago, IL",False,ward 17 precinct 15
St Nicolai Church,"3000 N Kedzie Av, Chicago, IL",True,ward 35 precinct 1
Kellogg School,"9241 S Leavitt St, Chicago, IL",False,"ward 19 precinct 10, ward 19 precinct 18"
Senior Suites Of Marquette Village,"7430 S Rockwell St, Chicago, IL",True,ward 18 precinct 12
Chance Ministries,"305 N Cicero Av, Chicago, IL",True,ward 28 precinct 21
Saint Cornelius Church,"5430 W Foster Av, Chicago, IL",True,"ward 45 precinct 35, ward 45 precinct 36"
Centennial Forum/Student Union,"1125 W Loyola Av, Chicago, IL",True,ward 49 precinct 7
Association House Of Chicago,"1116 N Kedzie Av, Chicago, IL",True,ward 26 precinct 10
Russell Square Park,"3045 E 83 St, Chicago, IL",True,ward 7 precinct 25
New Life Covenant Northwest,"5110 W Diversey Av, Chicago, IL",False,ward 31 precinct 17
Ninos Heros School,"8344 S Commercial Av, Chicago, IL",True,ward 10 precinct 27
The Linden House,"2315 W Le Moyne St, Chicago, IL",True,ward 1 precinct 38
Church Of The Living God,"1738 W Marquette Rd, Chicago, IL",False,ward 15 precinct 7
Clark &amp; Irving Park Sr Housing,"3940 N Clark St, Chicago, IL",True,ward 47 precinct 44
Sams Auto Sales,"6815 S Western Av, Chicago, IL",True,ward 17 precinct 8
Prayer/Faith Outreach Ministries,"944 W 103 St, Chicago, IL",True,"ward 34 precinct 25, ward 34 precinct 44"
Los Pequenos Angelitos Day Care,"3711 W 55 St, Chicago, IL",True,ward 23 precinct 33
Euclid Park,"9800 S Parnell Av, Chicago, IL",True,ward 34 precinct 46
Dawes Elementary School,"3810 W 81 Pl, Chicago, IL",False,ward 18 precinct 17
Chicago Police Station,"7808 S Halsted St, Chicago, IL",True,ward 17 precinct 10
Apostolic Assembly,"1326 N Hamlin Av, Chicago, IL",True,ward 26 precinct 45
Vernon Park Church,"9011 S Stony Island Av, Chicago, IL",True,"ward 8 precinct 3, ward 8 precinct 8, ward 8 precinct 19"
Love &amp; Faith M B Church,"512 S Washtenaw Av, Chicago, IL",True,ward 28 precinct 29
Nutrition Club,"2955 N Cicero Av, Chicago, IL",False,ward 31 precinct 30
Resurrection Retirement Ctr,"7262 W Peterson Av, Chicago, IL",True,"ward 41 precinct 20, ward 41 precinct 31"
St Lukes Lutheran Church,"2649 N Francisco Av, Chicago, IL",False,"ward 32 precinct 17, ward 32 precinct 26, ward 32 precinct 28"
Salvation Army Ray/Joan Kroc Corp,"1250 W 119 St, Chicago, IL",True,"ward 34 precinct 1, ward 34 precinct 10"
Kelvyn Pk High School,"4343 W Wrightwood Av, Chicago, IL",True,ward 31 precinct 1
St Philip Lutheran Sch,"2500 W Bryn Mawr Av, Chicago, IL",True,ward 40 precinct 19
The Belmont By Reside,"3170 N Sheridan Rd, Chicago, IL",True,ward 44 precinct 1
Kennicott Park,"4434 S Lake Park Av, Chicago, IL",True,"ward 4 precinct 5, ward 4 precinct 10"
Hermosa Park,"2240 N Kilbourn Av, Chicago, IL",True,"ward 36 precinct 11, ward 36 precinct 13"
Resurrection Luthern Church,"9349 S Wentworth Av, Chicago, IL",False,"ward 21 precinct 38, ward 21 precinct 45"
Moos School,"1711 N California Av, Chicago, IL",True,ward 1 precinct 30
First St Peter MB Church Of Chicago,"5524 S Ashland Av, Chicago, IL",False,ward 16 precinct 10
Franklin Park Fieldhouse,"4320 W 15 St, Chicago, IL",True,"ward 24 precinct 8, ward 24 precinct 25"
Grant Campus,"145 S Campbell Av, Chicago, IL",True,ward 27 precinct 17
The Truth That Sets You Free Church,"3334 S Paulina St, Chicago, IL",False,ward 12 precinct 9
Pritzker College Prep,"1833 N Kedvale Av, Chicago, IL",True,ward 35 precinct 13
680 Lake Res Condo Assoc,"680 N Lake Shore Dr, Chicago, IL",True,ward 42 precinct 8
Columbus Park,"500 S Central Av, Chicago, IL",True,ward 29 precinct 42
Eckhart Apartments,"838 N Noble St, Chicago, IL",True,ward 1 precinct 40
Hairpin Art Ctr,"2800 N Milwaukee Av, Chicago, IL",True,"ward 35 precinct 6, ward 35 precinct 11"
Courtenay Language Arts Ctr,"4420 N Beacon St, Chicago, IL",True,ward 46 precinct 12
Maries Golden Cue,"3241 W Montrose Av, Chicago, IL",True,ward 33 precinct 15
The Kenmore Apartments,"5040 N Kenmore Av, Chicago, IL",True,ward 48 precinct 21
Cokery School,"2510 S Kildare Av, Chicago, IL",True,ward 22 precinct 6
Greater Mt Pleasant MB Church,"2100 E 83 St, Chicago, IL",True,ward 8 precinct 36
Ronald McNair School,"4820 W Walton St, Chicago, IL",True,ward 37 precinct 20
Pirie School,"650 E 85 St, Chicago, IL",True,"ward 6 precinct 3, ward 6 precinct 31"
C A S L Senior Housing,"2108 S Princeton Av, Chicago, IL",True,ward 25 precinct 14
St Daniel Prophet Ch,"5340 S Nashville Av, Chicago, IL",True,"ward 23 precinct 3, ward 23 precinct 37"
Chicago Fire Station,"7659 S Pulaski Rd, Chicago, IL",True,ward 18 precinct 2
Hurley School,"3849 W 69 Pl, Chicago, IL",False,ward 13 precinct 41
Trumball Park,"2400 E 105 St, Chicago, IL",True,"ward 7 precinct 44, ward 7 precinct 45"
Tilden Community Academy,"4747 S Union Av, Chicago, IL",True,ward 11 precinct 28
Fosco Pk Fieldhouse,"1312 S Racine Av, Chicago, IL",True,ward 25 precinct 20
Stratford Christian Center Church,"9152 S Ashland Av, Chicago, IL",True,ward 21 precinct 14
Jesse Owens School,"12450 S State St, Chicago, IL",True,"ward 9 precinct 41, ward 9 precinct 44"
OToole School,"6550 S Seeley Av, Chicago, IL",True,ward 16 precinct 24
Morningside Ct Apartments,"1250 W Morse Av, Chicago, IL",True,ward 49 precinct 26
Long Grove House,"2001 S Michigan Av, Chicago, IL",True,ward 3 precinct 40
Peck School,"3826 W 58 St, Chicago, IL",True,ward 13 precinct 3
Bezazian Library,"1226 W Ainslie St, Chicago, IL",True,ward 46 precinct 16
The Martha Washington Apts,"2324 W Irving Park Rd, Chicago, IL",True,ward 47 precinct 3
Sandburg Village,"1460 N Sandburg Terr, Chicago, IL",True,ward 2 precinct 37
Sutherland School,"10015 S Leavitt St, Chicago, IL",True,"ward 19 precinct 2, ward 19 precinct 22"
Rosehaven Manor,"10220 S Michigan Av, Chicago, IL",True,ward 9 precinct 17
Lamon Baptist Church,"2551 N Lamon Av, Chicago, IL",False,ward 31 precinct 37
St Benedict The African West,"7033 S Honore St, Chicago, IL",False,ward 17 precinct 31
Epiphany Parish,"2524 S Keeler Av, Chicago, IL",True,ward 22 precinct 17
Gresham School Of Excellence,"8510 S Green St, Chicago, IL",True,"ward 21 precinct 17, ward 21 precinct 34"
Circle Park Apartments,"1111 S Ashland Av, Chicago, IL",True,ward 28 precinct 18
Las Moradas Apts,"1307 N California Av, Chicago, IL",True,"ward 26 precinct 25, ward 26 precinct 26"
Kizin Creole Restaurant,"2311 W Howard St, Chicago, IL",True,ward 49 precinct 21
O Hallaren Park,"8335 S Honore St, Chicago, IL",True,ward 21 precinct 15
1700 E 56th St Condo Assoc,"1700 E 56 St, Chicago, IL",True,"ward 5 precinct 35, ward 5 precinct 41"
New Life Community Church,"5101 S Keeler Av, Chicago, IL",True,ward 23 precinct 26
West Point Plaza,"300 S Damen Av, Chicago, IL",True,ward 27 precinct 41
St Marys Parish Center,"4626 W 63 St, Chicago, IL",True,"ward 13 precinct 25, ward 13 precinct 36"
