ward,precinct,name,address,accessible
1,1,Yates School,1826 N Francisco Av,True
1,2,Iglesia De Dios,1859 N Spaulding Av,False
1,3,Wells Community Academy,936 N Ashland Av,True
1,4,Commercial Park,1845 W Rice St,True
1,5,LaSalle II Magnet School,1148 N Honore St,True
1,6,The Ogden Intrnl School/Chicago,1250 W Erie St,True
1,7,Haas Park,2402 N Washtenaw Av,True
1,8,Wicker Park Senior Housing,2020 W Schiller St,True
1,9,Campbell Terrace Apartments,2061 N Campbell Av,True
1,10,LaSalle II Magnet School,1148 N Honore St,True
1,11,Wicker Pk Fieldhouse,1425 N Damen Av,True
1,12,Ukranian Village Cultural Ctr,2247 W Chicago Av,True
1,13,Chicago Police Station,2150 N California Av,True
1,14,De Diego Community Academy,1313 N Claremont Av,True
1,15,St Mark Parish,1048 N Campbell Av,True
1,16,Goethe School,2236 N Rockwell St,True
1,17,Iglesia Mision Del Valle,1847 N Kedzie Av,False
1,18,St Mark Parish,1048 N Campbell Av,True
1,19,Sacramento Elderly Apartments,2451 N Sacramento Av,True
1,20,Evangelical Baptist Ch,3008 W Cortland St,False
1,21,LaSalle II Magnet School,1148 N Honore St,True
1,22,Wright College,1645 N California Av,True
1,23,Salem Christian School,2018 N Richmond St,False
1,24,Erie Elementary Charter School,1405 N Washtenaw Av,True
1,25,Erie Elementary Charter School,1405 N Washtenaw Av,True
1,26,Funston School,2010 N Central Park Av,True
1,27,North &amp; Talman Elderly Apartments,1600 N Talman Av,True
1,28,Lathrop Elderly Housing,2717 N Leavitt St,True
1,29,St John United Church Of Christ,2448 W Moffat St,False
1,30,Moos School,1711 N California Av,True
1,31,North &amp; Talman Elderly Apartments,1600 N Talman Av,True
1,32,Ukranian Village Cultural Ctr,2247 W Chicago Av,True
1,33,Talcott School,1840 W Ohio St,True
1,34,Chicago Police Station,2150 N California Av,True
1,35,Goldblatts Building,1615 W Chicago Av,True
1,36,Goldblatts Building,1615 W Chicago Av,True
1,37,James Otis School,525 N Armour St,True
1,38,The Linden House,2315 W Le Moyne St,True
1,39,Talcott School,1840 W Ohio St,True
1,40,Eckhart Apartments,838 N Noble St,True
1,41,Haas Park,2402 N Washtenaw Av,True
1,42,Windy City Field House,2367 W Logan Bv,True
1,43,Campbell Terrace Apartments,2061 N Campbell Av,True
1,44,Yates School,1826 N Francisco Av,True
2,1,St Stanislaus School,1255 N Noble St,True
2,2,200 Delaware Condo,200 E Delaware Pl,True
2,3,Happy Village,1059 N Wolcott Av,False
2,4,Columbus School,1003 N Leavitt St,True
2,5,Northwestern Settlement Assoc,1400 W Augusta Bv,True
2,6,Pulaski Park,1419 W Blackhawk St,True
2,7,First Bethlehem Luth Ch,1649 W Lemoyne St,True
2,8,First Bethlehem Luth Ch,1649 W Lemoyne St,True
2,9,Marcellos Restaurant,645 W North Av,True
2,10,Lake Shore Pk,808 N Lake Shore Dr,True
2,11,Northwestern Worcester House,244 E Pearson St,True
2,12,North Orchard Pl,1600 N Orchard St,True
2,13,200 Delaware Condo,200 E Delaware Pl,True
2,14,Columbus School,1003 N Leavitt St,True
2,15,Sabin School,2216 W Hirsch St,True
2,16,Sabin School,2216 W Hirsch St,True
2,17,St Nicholas Cathedral,2238 W Rice St,True
2,18,Lake Shore Pk,808 N Lake Shore Dr,True
2,19,175 Delaware Pl Condo,175 E Delaware Pl,True
2,20,The Salvation Army,2270 N Clybourn Av,True
2,21,Columbus School,1003 N Leavitt St,True
2,22,St Josaphat Church,2311 N Southport Av,False
2,23,The Drake Hotel,140 E Walton Pl,True
2,24,Ivy Apartments,2437 N Southport Av,True
2,25,Wicker Pk Fieldhouse,1425 N Damen Av,True
2,26,The Salvation Army,2270 N Clybourn Av,True
2,27,Warren Barr Pavillion,66 W Oak St,True
2,28,1st St Pauls Evan Luth Ch,1301 N LaSalle Dr,True
2,29,Lake Shore Dr Synagogue,70 E Elm St,True
2,30,The Moody Church,1630 N Clark St,True
2,31,The Moody Church,1630 N Clark St,True
2,32,Lawson Y M C A,30 W Chicago Av,True
2,33,James/Kilmer Condo Assoc,1560 N Sandburg Terr,True
2,34,40 Cedar Condo Assoc,40 E Cedar St,True
2,35,1st St Pauls Evan Luth Ch,1301 N LaSalle Dr,True
2,36,Eliot House Condominium,1255 N Sandburg Terr,False
2,37,Sandburg Village,1460 N Sandburg Terr,True
2,38,State Tower Condo Assoc,1230 N State Pkwy,True
2,39,Morningside North Apts,170 W Oak St,True
2,40,One Superior Place,1 W Superior St,True
2,41,Access Living,115 W Chicago Av,True
2,42,Eleven-Eleven Apts,1111 N Dearborn St,True
2,43,Chicago Sinai Congregation,15 W Delaware Pl,True
2,44,Americana Towers,1640 N Wells St,True
2,45,Lawson Y M C A,30 W Chicago Av,True
2,46,St Michael Church,1711 N Cleveland Av,False
3,1,Margaret Ford Manor,4500 S Wabash Av,True
3,2,Stewart Phase 1,400 E 41 St,True
3,3,Hillard Towers Apartments,54 W Cermak Rd,True
3,4,Mollison School,4415 S Ml King Dr,True
3,5,Fuller Park,331 W 45 St,True
3,6,Prairie District Lofts Condo Assoc,1727 S Indiana Av,False
3,7,Lincoln Perry Sr Bldg,3245 S Prairie Av,True
3,8,Burke School,5356 S M L King Jr Dr,True
3,9,Mollison School,4415 S Ml King Dr,True
3,10,Fuller Park,331 W 45 St,True
3,11,Mt Pisgah Missionary Bapt Ch,4622 S M L King Dr,False
3,12,Paul G Stewart Phase 3,401 E Bowen Av,True
3,13,Chicago Police Station,1718 S State St,True
3,14,18th &amp; Wabash Corporation,1801 S Wabash Av,True
3,15,Deliverance Manor Apartments,4201 S Wabash Av,True
3,16,Ace Tech Charter High School,5410 S State St,False
3,17,2101 S Michigan Av Apts,2101 S Michigan Av,True
3,18,Dearborn Homes,2731 S Dearborn St,True
3,19,Prairie District Lofts Condo Assoc,1727 S Indiana Av,False
3,20,Cal Met Village,4101 S Calumet Av,True
3,21,Lake Vista Apartments,1440 S Indiana Av,True
3,22,Old St Marys Church,1500 S Michigan Av,True
3,23,The Pershing,3845 S State St,True
3,24,Willa Rawls Manor Apts,4120 S Indiana Av,True
3,25,Soka Gakkai International USA,1455 S Wabash Av,True
3,26,South Loop School,1212 S Plymouth Ct,True
3,27,Prairie District Lofts Condo Assoc,1727 S Indiana Av,False
3,28,Princeton Center,4250 S Princeton Av,True
3,29,T E Brown Apts,3601 S Wells St,True
3,30,Luther Terrace,4747 S King Dr,True
3,31,Liberty Baptist Church,4849 S M L King Jr Dr,False
3,32,Sky Fifty Five Apts,1251 S Michigan Av,True
3,33,Old St Marys Church,1500 S Michigan Av,True
3,34,Old St Marys Church,1500 S Michigan Av,True
3,35,Apostolic Faith Church,3823 S Indiana,True
